,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
20-11,95.76025335,1.179741,70.57528,1.889893,2.24256,29.2658635,34.4412468,17.162607,5.978332278,9.94065,717.169413,1.1816644,13.7588317,20.2172551,5.431744,6.15814,145.60275,121.364432,14.90004,4.706622,14.3260291,169.553121,30.3404,16.29686489,5.2922947,113.25859,44.5766681,14.13786,79.806759,504.53028,139.96552,75.604474,NA,92.09555,4309.533251,84.63707,32.29008,32.199315,52.778007,29.462199,35.533627
20-18,127.1242014,0.595033,26.914765,0.659084767,3.636931,45.5442892,33.53981,30.297682,2.880785579,4.00231,4487.11164,12.4472901,8.850359538,7.0738144,1.0679574,19.2348,148.15602,1199.290405,9.125491,3.497193,16.8958574,136.5660479,0.431958,16.965404,1.7321436,214.08418,19.37290962,7.988987,146.885067,350.810378,49.310344,67.077135,NA,212.8348,2668.603289,138.720804,56.334747,29.339139,36.585026,27.50444,37.956571
20-22,105.4106881,0.500967,4.57789,2.055288,10.036016,14.281606,5.471031,36.60315,5.2535161,10.4403,343.511431,1.2478828,14.999173,16.2927722,1.3039606,6.99177,97.7774,1806.885187,11.731247,12.4623339,8.36036,120.9397499,20.0429,27.98568328,14.268254,158.285,16.502952,2.525651,104.61773,377.0718778,8.213135,61.5431,NA,115.4996,8029.611386,81.62323,35.205018,30.956152,46.807244,22.930929,26.519896
20-26,51.3473636,0,4.28678,1.304141,3.960098,20.8083021,27.6251399,21.21243,5.1922909,7.8131,3956.412845,20.4409551,15.145176,28.874374,2.085606151,4.80774,187.8223,4980.821953,1.978303,9.109504,0,206.1886327,1.07928,9.736175072,9.2839086,237.41406,27.96738363,29.1549,110.4964059,1537.093609,16.414516,65.33801,NA,276.1323,1982.444838,152.346325,54.66777098,35.715336,50.354514,32.683683,70.117716
20-27,146.3292593,1.257899,6.00362,1.3255618,6.169739,11.96799,4.75692599,23.873111,4.141978929,4.65585,798.78247,4.8947708,10.54438501,13.17846,2.6476432,24.7695,131.94482,95.53784,7.368511,4.7687495,0.4229813,102.3762116,1.35575,39.99758045,6.131888,71.54652,36.0890293,5.799945,101.186341,729.247495,189.40461,76.27749,NA,61.79834,5544.527391,89.847582,40.468564,39.222943,43.313012,25.34259,29.033211
20-28,119.7098139,2.8729,28.259374,8.425733,1.478305,28.6788772,2.063801,9.008305,2.327388,2.65854,653.18059,4.509602,17.63916,20.280207,4.3735016,67.441,181.48525,670.4541202,16.89915,0.910813,0.39724,198.6202862,13.9195,34.79447031,3.5579123,146.13095,99.92425697,3.009215,118.34131,354.207502,117.25704,52.157148,NA,222.8855,2340.871045,112.202993,50.721876,23.548082,25.0719147,35.797014,48.032038
20-39,66.2921067,3.742348,15.447094,2.412311419,2.363311,26.9383396,6.3719794,86.28628,5.2977729,3.4676,1973.991049,10.6809894,7.656848,16.131872,1.08016961,35.3217,88.1107,2265.467855,3.48422,2.7585964,4.47505,109.8554266,3.67455,14.87911838,1.6234485,210.21536,7.9232021,12.145221,88.80290074,981.595651,27.78073,37.26139,NA,162.3878,2251.331155,116.390081,38.63559,28.144263,24.49680236,27.172714,33.1797976
20-48,109.9473355,2.51733,4.56634,1.970271,2.360410617,19.7258942,6.627701005,17.627081,3.417197,2.80872,1101.99722,1.992161,8.267465004,47.743655,2.463785,17.8281,244.31729,1167.269695,9.747828,1.0696363,73.465472,97.5447902,3.4204,22.73781735,1.3465446,197.10425,99.560888,17.985282,76.655788,365.774955,144.05254,42.43312,NA,210.6516,4091.154059,109.594424,55.481593,25.431528,28.64192913,14.34068,27.3990236
20-50,130.100067,1.348987,16.8912,1.61536897,3.9227611,23.1857858,13.234304,10.250322,6.6084221,2.78854,2409.575245,17.3934883,11.66565,25.2578385,1.737337,35.6562,224.41161,285.39581,14.833579,2.182989,79.99092,189.2020959,0.964993,28.6816912,8.1213207,153.86137,41.487507,5.142617,117.0563451,478.055035,69.52921,56.020121,NA,205.9767,2483.095965,123.5428,57.716756,30.022001,33.18827,39.734637,42.281974
14-04,38.338293,0.522123,6.803166,0.6538098,2.216128,1.842199,4.109011,23.255741,6.480565,12.8375,230.211615,1.3746882,14.84259501,18.403638,0.5485551,93.7355,268.541071,130.8489806,4.932793,3.371952,0.102512,65.03159674,0.114559,28.09801258,2.346921,84.98417,38.4716439,0.876994,65.474928,515.821744,246.629,45.896925,NA,61.66311,1217.47086,45.12349,34.118994,40.372377,57.565812,11.710027,23.60084
15-13,39.6010335,0.138027,10.753582,0.9379015,2.92521,7.6950084,1.2885137,9.22649,9.746161174,13.503,53.753242,2.549626,14.46935993,35.28736,4.1021655,306.707,330.837242,935.465406,3.900678,2.2134105,0.6471885,89.8992381,1.40245,29.41970923,1.3870808,84.23427,52.835996,7.69695,104.401461,1775.77486,96.9339,59.534797,NA,134.6988,692.675812,54.358818,76.293071,45.510697,50.138619,27.1546,25.639886
