,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
cavatica_1,16.17280839,0.00687153,30.874783,1.838046615,1.1662048,3.1464278,1.787972,6.7780799,1.02447409,2.23335,370.4420135,0.7697251,0.98337,1.3659551,0.32544692,42.8958,51.29348,3539.50636,1.4167803,1.1711331,0.3559451,5.9183107,0.084289,4.81381565,0.7658413,38.952308,11.9716378,1.849166,14.2434847,73.182782,2.62675,7.1873912,4.2653622,12.3609,722.3135941,11.753523,9.1997624,6.741775,13.3700218,2.6166098,4.1461384
cavatica_2,11.45776363,0.00756919,0.9643341,0.03238,5.278549,11.825282,3.3149372,10.2809835,1.017701955,5.96617,2683.204677,0.30285568,2.5246873,1.9666576,0.22742558,148.505,11.671526,1690.45758,1.56795,5.223176748,0.0208377,8.3497348,0.141283,4.14546,0.9345002,116.17953,4.7828597,11.550218,14.5459963,59.189579,13.072258,8.558785,4.1509931,158.4044,947.255602,11.423701,11.567665,8.89729,15.6538548,2.5290747,9.9919813
cavatica_3,28.9499057,0,29.86215,0.7042624,0.4527423,11.699787,19.656776,10.1881675,1.628418752,1.2705,350.606496,2.22702481,0.7727719,2.9104792,0.716841,181.876,45.29681,62.0038281,1.543754414,0.3140552,2.6314701,18.134896,0.124886,10.81502963,0.6239273,61.8999157,27.137053,2.059068,23.710416,91.166857,28.36667,14.1324182,6.2172854,37.35313,907.6735539,22.808388,24.230136,9.782205,16.892375,4.0086045,8.5901136
cavatica_4,13.5960001,0.0519489,29.969012,1.2073702,0.4389074,4.6949493,3.4333303,5.1551719,0.638295,1.69718,280.0880761,1.46501594,0.6366959,3.617222,0.19474356,43.0583,73.327984,1444.66863,4.7814424,0.686546001,0,11.72149555,0.0796243,3.7499999,0.5451579,60.83548,2.5984386,3.912816,16.715877,355.413397,14.04919,10.9004646,1.75319,9.587897,801.569222,15.848244,11.1568752,10.9910252,19.006111,3.626246,5.4909924
cavatica_5,12.421356,0.0430836,13.9327411,0.0528199,0.1917782,13.414848,5.7473024,5.7387071,0.89523208,2.26081,83.0032864,1.05226046,0.3645529,3.1975073,0.4783315,97.7674,62.759026,1542.85525,23.797492,0.194436824,0.309958,18.6179033,0.0591033,2.067536472,0.7512943,238.7963541,12.96914836,13.856897,17.6443979,83.235489,61.989052,7.4157554,0.861217,31.47631,707.580291,14.6206972,10.7651229,10.809067,13.2277256,3.0016932,9.9246265
cavatica_6,19.2187675,0.00878697,61.11118,0.5808185,1.0611065,5.7739065,1.1365244,1.54412679,2.726807189,2.72406,421.692277,0.3673597,1.8489018,4.8812613,0.2341026,2.30326,18.730824,1923.24239,0.5111918,1.230360183,0,10.9845912,0.483531,5.425934859,0.360271,29.702989,4.31925181,1.2133485,10.8533671,7.5529824,0.0342038,7.6896424,0.257486,0.604554,813.156099,10.818001,8.743377269,6.665642,11.6343193,3.73471,4.6585466
cavatica_7,15.2125965,0.0299866,11.758642,1.7737274,1.1460828,2.9334345,4.3724207,11.9266713,0.65362925,2.15806,727.2923076,1.0375922,0.9378818,2.2626596,0.26603277,57.4303,45.910488,2777.38106,3.698925,1.13794476,0.91319579,7.729072,0.322648,4.740676501,0.3079146,59.111791,6.55419825,2.7745388,12.5873,73.142455,36.68432,12.6835713,2.6497847,7.48581,970.28838,11.988202,11.524384,6.7583108,16.460631,1.968052,7.1891258
cavatica_8,13.35144663,0,5.705131,0.304219169,0.3906633,5.6618434,3.6958822,7.23691633,0.920132392,3.45508,349.4844553,0.7844883,0.792179,5.7298196,0.8132584,21.9394,42.472923,1246.015769,6.7926457,0.583006635,1.516856,9.684759039,0.17696,1.9456057,0.5638314,54.431186,1.961343308,1.6572999,14.6308495,80.636557,61.68482,8.223126,0.654012,14.13195,610.3035756,12.5293735,11.3194431,7.846885,13.272002,2.9586773,7.1033731
cavatica_9,26.17960471,0.0195607,25.62744,0.3058952,0.4979443,6.039538,4.2703175,9.3170687,1.282901826,1.53621,839.442387,0.4089589,0.6411056,1.741808,0.3237115,209.384,36.84959,3038.72858,4.342266,0.8532587,0.0173493,23.32946386,0.0519699,6.185048642,0.5812159,61.59002,2.27496445,1.281379,20.849256,63.038389,14.87415,11.156127,3.29535,15.6945,681.0927342,18.678712,5.6160205,10.955903,14.013337,7.024237,5.8176545
cavatica_10,18.61586209,0.06597402,46.902049,0.7575042,0.080218317,7.692206,2.193312,4.4165008,0.747683274,0.400191,302.1854226,1.66012018,0.434455,4.3779901,1.66435961,94.2986,127.76398,1461.29443,9.62638,0.0489556,0,9.747925031,0.0830611,2.98490386,0.2955815,50.74504,1.1353336,0.978492,16.94873041,91.475967,23.325514,6.7854719,1.9531152,79.8214,823.265314,17.127505,15.8952196,9.2823902,12.3668817,3.1954254,7.0546021
cavatica_11,9.21256761,0.00980769,10.836225,0.1420246,0.26715,3.7440891,1.2913288,1.5453047,0.395783267,0.171148,20.77046929,0.229204795,0.34350464,0.2820445,0.242718078,3.15492,8.675358,59.5260843,2.4051609,0.0196596,0.017352,5.4839793,0.20784,3.195349689,0.2845882,22.1734309,0.240197006,0.6708865,7.379383606,5.348836,0.318573,5.1734933,0.115602,1.027961,362.5522655,8.9710998,3.4514064,5.8671697,6.1739634,2.1953789,4.4737339
cavatica_12,19.4308547,0.0481072,34.255531,0.15893752,0.525529,6.6458788,0.446816,7.5027554,0.7528693,1.23491,503.4129518,1.16076561,0.9970005,4.2050016,0.4833322,49.5072,44.457775,56.344703,1.5514548,0.7211437,0.687975,6.8628366,0.188792,2.32655378,0.24116358,45.898325,25.034753,0.8699192,30.3396219,165.615029,31.41709,9.7976611,1.9093578,12.16257,490.537103,17.1242741,8.7552886,5.8840687,19.7365358,3.3352201,9.1733028
cavatica_13,7.11456957,0.0228043,8.264914,0.087904219,0.9718909,2.9919994,3.4542415,7.3963482,0.785783502,3.24415,802.0704066,0.5990978,0.66755487,0.57405147,0.05785032,38.5977,29.075872,1354.78813,3.550193,0.5984119,0,4.037423634,0.0497805,2.1590117,0.4427449,31.4735997,2.513466,0.8683999,16.8308901,28.136045,8.87813,6.444819,1.56448,4.250953,384.2827747,9.8872928,6.3984209,5.0280135,13.6441729,1.433306,4.1409299
cavatica_14,17.72806053,0.0998173,35.378685,1.9716966,0.6332244,8.3440987,13.0026973,4.290304,0.9491569,1.80206,1037.310365,1.7644598,0.5800684,3.8616111,0.265310729,87.0922,59.683496,2257.47615,5.2715452,0.4654474,4.1367471,8.054650331,31.9556,5.78215257,0.8415084,47.0029476,3.8753935,1.7581459,13.78462227,108.150406,10.625949,9.3434775,4.6060459,50.42561,873.3866676,13.857355,10.2242336,7.512982,12.557202,2.3350803,5.0568265
cavatica_15,16.14288002,0,13.904655,0.095634,0.5430807,1.4765096,7.0746469,3.12795819,0.446541511,1.1813,846.779305,0.43247112,1.0698027,9.0754914,0.19422,9.97843,15.6252693,32.392656,3.9001066,0.3566018,1.409618,5.3468259,0.239315,4.687676348,0.1809735,35.6451087,19.5690189,0.404839,12.1864466,27.1317726,56.91052,8.6223658,6.26281,7.68005,612.4156458,12.393042,8.12676353,5.923978,11.414891,1.5772076,7.1880815
cavatica_16,10.2209219,0,2.6421499,0.63231499,0.2120841,1.0201309,1.5877633,0.90226,1.074857602,2.15113,3.2989776,1.1874946,0.8659525,4.8763131,2.346297,7.36228,16.63741,122.7121789,2.07092,0.1348773,0.4109673,16.8112083,0.455825,4.3055862,0.28829981,78.5961565,0.133597,12.171554,15.11502063,382.037653,1.458127,8.3891086,0.582966,48.38453,563.1177736,14.335777,9.563649,6.661489,13.2642632,2.0931695,3.823576
cavatica_17,11.29742182,0.0468659,43.592409,2.2092754,0.8491789,20.578102,5.9979943,3.88022,1.1690718,1.6095,167.3703449,0.966827317,1.3089023,7.8097295,0.4737201,155.088,32.044969,2172.74396,4.3270425,0.7063671,0.01473553,11.7486415,0.346889,5.570537407,0.3785555,68.8406289,13.3130694,2.815905,18.0597377,186.632632,41.66727,11.78308,3.49583,55.6949,1014.519646,14.824565,13.1855364,11.076038,17.138074,4.0652373,11.1735228
cavatica_18,9.43457532,0.0526388,17.374916,1.681692392,0.282279,5.7982148,2.4029556,3.62343,0.87789131,0.868708,363.6053289,0.674828398,0.6464602,5.5340674,0.2201846,170.39,25.645835,678.698842,3.676851,0.3883917,0.03319509,6.2892658,3.36769,2.73031911,0.2814682,44.433095,5.09601343,1.936817,11.77745801,156.50811,20.83035,8.3871359,2.5938282,79.219,707.9063987,9.8333914,8.161933602,6.5823558,10.7206169,1.5512439,5.0329515
cavatica_19,8.4581532,0.387247,2.5945278,0.1017551,3.2670806,17.082278,3.3867242,3.9793599,0.6593609,4.00134,955.0877977,0.6000432,1.1420506,3.8992901,0.6631411,100.014,11.2565889,1804.10949,2.0621657,2.6685524,0.00300769,4.43871,1.45327,2.296875924,0.401085,71.525341,2.411327497,9.2922189,11.122513,26.4057699,2.738217,7.600188,1.0145343,69.29152,756.4379927,8.9006028,8.6641664,7.1676947,12.6142882,2.0778744,7.5524441
cavatica_20,6.63397279,0,24.8682272,0.13721021,0.873933,12.7917996,2.5355986,6.16701,1.5367969,4.38654,253.9219276,1.1496881,1.188760114,4.1408137,0.7590496,45.638,30.305477,1063.8191,0.91813439,1.4052059,0.02403384,9.26618597,0.65571,1.7333745,0.6768239,95.9884044,11.6437823,1.9273903,15.5889609,29.3915445,12.64072,6.6018604,0.225637,6.51684,635.2005337,11.3273554,6.444265157,5.8284201,16.1696384,3.6573977,7.8203926
cavatica_21,15.00340457,0.0328592,37.599598,0.89861492,0.4066374,5.4280221,0.9817441,9.1194758,0.706769846,0.991964,842.395082,0.81473175,0.42036292,3.1722232,0.4022748,18.7202,61.864807,762.577594,10.4360298,0.4244395,0.363225,8.487019061,0.307712,3.004358749,0.33452054,55.8577,1.798258,1.171339,17.7117633,32.418156,13.16435,6.6341688,1.59867,37.27376,680.7050233,12.1786368,11.4988378,9.350168,15.052391,2.616663,7.0850811
cavatica_22,0.61510199,0,0.0752823,0.0315956,0.0511203,0.1426383,0.24643908,0.25303901,0.07745296,0.446763,17.3704009,0.02824559,0.048735268,0.18943883,0.02630561,4.19289,2.3683467,2.274873,0.0389919,0.01418746,0.18170489,0.368181141,0.0406136,0.257378978,0.00493313,3.357518,0.3853165,0.0210678,1.10304504,10.5481594,0.92421,0.6087444,0.206236,3.238525,14.38692568,0.41324017,0.39290519,0.34037237,0.94462261,0.08932375,0.6881422
cavatica_23,14.25988007,0.0367691,3.4550768,0.73306337,0.262064,7.0821732,4.3605507,3.51568,0.480759253,1.46635,260.5062483,1.1000357,0.528391907,8.2440775,0.16007499,122.563,60.881935,382.7984509,10.3414219,0.174258,1.2954618,7.974204895,0.179573,3.142145654,0.5806244,61.672143,4.9415817,3.2398549,14.1500211,257.0248481,88.724515,6.990244,3.92488,137.402,763.9525337,12.280361,8.5995706,9.8748081,12.5287366,3.5342713,8.63077594
cavatica_24,14.5553644,0,23.726627,1.1017125,0.743948,4.9450427,5.8556068,5.5259684,0.88117168,3.71274,1035.090473,0.869047468,0.9888086,2.6565314,0.0515671,31.2288,33.160145,1413.67458,6.263555,0.9504874,0.3597012,5.6067721,0.241572,2.234446404,0.5757091,42.4604904,11.6198141,1.3090482,14.5202114,115.190046,31.09459,16.3745778,3.1701647,18.03187,685.7604551,10.9567747,11.1092849,7.582086,13.2266778,2.4514528,6.2515725
cavatica_25,8.8032436,0.0292073,53.928366,0.2350234,0.4844235,7.6484651,1.19124221,9.5088603,1.41682644,3.2408,794.1682239,0.41766412,1.234256004,3.7574067,0.21002443,57.8629,21.68416018,318.1080885,1.723724,1.064752079,0.424484,4.50626123,0.0708276,1.694247361,0.3605287,46.1831747,13.3744401,0.4817006,18.1180502,213.2870329,48.052678,5.1542692,1.33922,19.57715,542.4776632,11.0910233,9.8348093,9.318771,16.948609,2.854619,9.1488653
cavatica_26,11.14015834,0.106276,2.352697,0.1217932,1.5217739,17.4525441,1.6665001,1.8977588,0.44280296,2.01665,837.925799,1.2079338,0.95622891,3.37917995,0.5763568,82.6493,9.4370389,1933.9517,1.04535,0.9295677,0,3.4432715,0.315281,3.255516951,0.1936367,25.201276,1.49217949,6.686469,11.29519273,40.819009,1.467156515,7.1443699,1.3513551,65.1675,648.3144763,10.4928367,6.8603879,4.089652,9.2603149,1.8011772,6.2896473
cavatica_27,18.33536575,0.0464232,10.150361,0.3183872,0.3018839,1.9034138,2.4611248,1.0184686,1.22982913,0.230864,381.656101,0.7922684,0.9171694,6.874177743,0.5088637,13.9871,17.917789,102.5565805,6.308697,0.191016731,7.1786778,6.861059178,0.423981,7.027651379,0.4119078,20.243579,21.9049634,0.5076693,9.268879415,60.3590603,1.231132,6.3116387,5.33348,16.03512,439.229747,11.4499447,8.7142858,3.196436,4.7285167,1.4337799,3.493804286
cavatica_28,8.254426891,0.0129417,32.320234,0.61442517,0.125675,1.6581311,6.2362639,1.86524691,0.456964616,0.561743,477.823686,0.8380729,0.2238608,1.71783958,0.15221882,26.8202,15.949642,937.66167,3.9156167,0.07312311,0.0879527,4.58703338,0.0156281,2.193006516,0.2692552,31.49594261,0.86688234,1.396064,6.3001172,56.4934309,5.199436,4.7774631,0.637907,25.53279,357.3222218,6.0913008,3.9770104,3.472715,6.615836,1.4400426,3.01398967
cavatica_29,10.58288574,0,64.30792,0.0814747,0.4585404,8.135572,3.379545536,4.1479518,1.7758004,3.1055,1362.406286,0.78324215,1.4269854,4.4236986,0.3747754,15.6181,17.80124472,580.50879,1.9212778,0.8884656,1.3067792,21.2087307,0.358906,2.739528302,1.3963293,58.10416,4.759267,2.1703922,17.78448405,110.216343,34.792773,16.585799,1.2379646,24.66277,436.613621,15.982387,13.0061971,13.6997618,14.16383,6.3772268,12.7726573
