,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
QM1,11.3912043,0,14.011,0.418313,1.32473,0.827063,1.5237853,8.157976,3.496334,8.9665,362.7889343,0.5581239,4.031826,18.26852,0.39731924,13.1609,90.0155636,849.378829,0.1234283,1.0205798,14.7852,5.613257178,0.218394,10.6349075,1.133014,60.426866,9.5713514,2.92158,32.4827652,1432.847562,182.798,35.7106688,,78.57243,1499.621967,30.853842,39.227647,25.27039707,63.1166811,5.032446,9.997676
QM10,6.5180601,1.84235,40.82581,0.779635,1.77829,1.64952,13.303577,94.056274,2.446236,36.6802,86.9817001,0.335212,3.484874,2.3511822,0.330683,153.346,29.122621,288.525879,0.56786,2.623102,0.148534,8.034461011,0.18093,21.01623505,0.4428498,48.762674,1.29258,2.48765,27.9230219,272.285687,2.31147,29.586204,,83.344082,2746.043167,28.469162,23.6695653,9.14805,38.735517,5.39382,4.61656
QM100,14.4828523,0.234223,25.750962,4.1203841,0.851825,2.476856,0.551557778,13.084513,1.5531257,4.33337,44.0471672,0.5112913,1.9521948,14.3066609,0.513319992,219.852,47.659941,71.531579,4.3145179,0.4352091,0.175243,7.905789351,0.780177,16.9472741,0.978214,49.843442,20.0324217,3.967035,44.5541365,1900.71666,255.907,30.252719,,168.445394,1194.356452,31.8403645,36.97921595,26.777089,69.129664,6.71595,7.6642507
QM101,6.0262897,0,9.22531,1.21334,1.56881,4.22059,76.3854549,32.815903,2.4590125,3.89825,285.09302,0.181047,1.593969,11.047682,0.393999,11.9488,9.78696,4644.739097,1.22269,1.5148,0,3.339491,39.0914,43.41073242,4.920619,25.34116,0.012375953,3.04172,23.9392,857.7648554,70.0876,57.34072085,,232.19255,1764.13632,36.45417156,41.066296,16.97589854,42.858836,4.878021,2.74146
QM102,18.88565225,0,26.1856699,1.232465,2.252165,3.7842427,1.8419635,95.254047,1.8115068,9.82035,26.1084941,0.2996727,2.605216,12.1105832,1.5102885,50.6005,116.164941,547.0730264,1.2519899,1.212172,1.148884,3.3392526,4.77257,6.842317938,0.703638,107.4162729,8.90381846,2.836733,55.95627067,1807.709954,55.2324,41.0061086,,38.342695,1469.87013,31.5840783,37.1317232,31.7809038,65.352449,8.404078,10.1809018
QM103,19.3996784,0.524467,10.906785,3.5198,0.9662165,1.9113005,1.1372283,23.033633,2.3170084,8.32631,133.9560305,0.9325874,3.9725045,10.34656364,0.5720928,76.4975,169.743828,459.048466,2.0404234,0.98358,0.0853066,5.974853587,20.3337,8.017514186,0.6237344,101.00808,37.1795486,1.9501,59.5068139,2481.07321,129.391,39.3617013,,153.09258,767.485085,30.0499442,96.083986,32.125271,55.1734998,7.8820239,10.418866
QM104,12.93921776,0.235026,18.040362,2.847319,1.2322314,2.2104486,3.0725137,19.679218,1.685687,2.96791,91.1399415,0.64338232,1.0655172,23.583811,0.73213,192.43,39.871783,153.066143,2.26019,0.394463,0.227837,2.44723,0.294902,14.8694985,0.7411811,50.17255,14.366369,4.327,52.2142408,2182.326271,109.695,31.91233,,176.70439,1559.082459,23.1241139,46.214469,18.86287,54.7629741,4.772077,7.6316839
QM105,14.69791351,0.381753,26.017035,3.6400116,1.098826,2.773343,0.712709797,197.82171,1.6943659,8.55064,316.6103904,0.8292889,1.4331464,6.3411021,0.0238438,19.7412,26.894932,726.898059,0.581617,0.62659286,0.261779,6.374074539,0.176575,16.66087,0.805863,9.739879,0.6464198,2.4249,44.5136467,1740.20531,67.0614,36.727802,,262.40149,2443.316684,29.918718,44.0598183,16.37349,55.6020465,6.515321,5.501508
QM106,20.50649391,0.096473419,22.3692289,0.922314,1.580581,3.3634878,1.01848736,30.85287,2.5128619,7.70808,158.6837537,0.5237664,3.4397728,14.4923849,1.01162647,169.025,64.189974,147.8770795,2.7031257,1.424914,0.2257828,8.80586481,32.2306,16.97222329,1.1785739,93.411777,21.39849408,5.8552779,64.887202,860.82451,148.721,43.6289908,,84.67265,1086.546811,35.2515681,44.931059,34.736222,87.763975,10.3923606,11.8131142
QM107,13.13925364,0,11.1082,0.9698,0.392322,0.215136,22.4725087,50.60573,1.005382,5.69989,88.09147221,0.053152,1.909842826,23.6269349,0.1101833,62.0644,64.167344,28.7294448,0.145129,0.2004474,4.987948,1.981653746,1.12761,20.933036,0.627471,43.44726,1.165397,2.612263164,24.636678,1413.4565,101.072,45.89783,,150.6758,2427.152463,24.247066,42.243583,17.550376,47.948124,2.5977572,4.1710148
