,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
M1,7.958505161,0.527959294,77.05015959,12.14440038,1.484088913,3.803994086,4.10191077,33.72791097,1.978712217,26.26188385,622.9216373,1.58208819,1.424019001,7.654738064,2.565954329,409.1113431,674.2778223,151.8139992,15.72854761,0.271156052,0,10.237077,3.154246283,11.83082629,1.9812586,197.7103135,5.789153864,9.438784262,44.66972562,160.784834,75.89747266,119.9955648,,595.1380823,1575.932809,39.14909195,41.15797141,14.41979499,18.21030709,5.630351785,8.738449791
M10,8.314062605,0,0.391793175,3.894532991,3.095752427,3.346884143,32.7432254,35.32545657,2.900411578,42.76997732,1074.14385,0.188597239,3.152143023,11.94125256,2.235586136,49.11492402,270.2087884,2774.711955,39.30497843,6.812972823,0,4.105392517,0.282888075,2.116139185,1.020035164,320.4434691,1.507854762,66.57728351,39.41658061,424.2843637,36.17708437,57.37767441,,179.779892,3390.52588,42.91799774,57.0014463,12.30066365,20.63024291,4.594081634,5.087399159
M100,17.13089899,1.03072082,138.564479,0.813269171,1.401942156,6.569710261,0.157143853,28.08854026,3.38166959,17.75597368,338.3573344,7.437162337,5.505991185,30.52297432,0.309920611,190.9199764,576.0779247,74.29884916,67.88628026,0.996866928,0.238588599,6.402304399,1.815566018,6.752289274,1.296837303,188.040024,56.05959662,35.87614761,53.63302476,304.8302225,198.9551688,63.6593652,,809.5142775,2137.896054,66.66275762,55.45133424,9.078228761,10.80328376,6.642119206,14.36319972
M101,5.453950217,0.336669507,46.94274619,0.437528305,4.121310531,3.742633533,8.695079133,4.758120312,4.530099214,54.4267724,20.76735517,0.456501027,9.287075257,9.498706092,0.692511537,485.4957692,475.8196892,913.6529982,3.441839231,4.75505275,0.204569898,11.96091214,1.337368554,4.217799719,0.676827094,312.6193669,1.852884368,29.93791465,47.50348698,54.83853772,436.2879886,59.52651248,,415.019701,1044.36246,49.13691456,40.54126639,18.69470673,15.17793608,6.623608548,9.855610446
M102,7.164519682,0.198883437,198.6693532,0.452312964,0.901709008,2.788001877,0.198102421,20.95409039,1.401100151,24.18266861,155.7885013,0.18877072,3.792947281,3.039424739,0.761102902,20.08645327,395.6748461,4.257293959,4.100703836,2.275049644,0.053709863,6.566333243,0.522476009,4.685488227,1.675467264,80.99606019,5.813841609,2.037068781,52.94139932,49.66795229,533.9323235,37.00015202,,36.2546278,979.6648716,49.29291695,19.08882431,8.467480701,19.58629742,3.177385852,9.891496736
M103,10.75512028,1.631458124,78.3909266,19.20658271,1.261806612,10.74075881,2.847253891,38.59133409,2.325712437,15.04429516,1759.37563,1.886830931,2.078616105,12.71077058,0.477435956,781.8541809,359.6647922,584.0421064,11.65987419,0.694520205,0.233251769,12.75179947,0.829532154,9.754427066,1.126959299,71.95493286,0.483553751,6.344534298,38.63875265,379.6456882,81.65357008,89.6615073,,342.7063569,2996.251953,51.96773243,54.15544756,14.26193547,11.85654506,6.952329204,9.059929644
M104,10.91089944,0.153108966,39.69221052,1.815665608,5.032762332,13.09718573,1.61767103,70.33128187,2.869147156,25.84819034,79.76298828,0.908273527,3.41011115,11.44440822,0.424798908,430.4983266,388.3758102,2260.195095,16.57935999,2.198223876,0.744266644,6.914271831,1.070435776,7.817370139,1.05532877,243.5472513,20.56331737,9.646944902,43.38421746,272.8685556,5.663970151,54.17265256,,128.0745587,2307.816617,53.63987838,47.45288694,21.78513302,15.70962272,10.7352581,15.43916439
M105,12.78675981,0,104.7069599,2.550801442,1.008555349,16.4399361,26.53328458,56.99219222,2.747070794,18.14606024,462.1322745,1.836374906,1.149722136,15.30578224,0.676023128,390.3527449,860.4642019,715.0551361,16.86414345,0.610954969,2.332289122,10.24774284,1.696604046,4.763323154,1.887360503,305.7420286,5.847601359,33.18166829,45.95640623,781.7502459,174.2362266,70.90922263,,532.0936482,1990.562873,61.30679347,50.42880777,27.48744965,12.70876482,12.91203643,22.47971369
M106,9.396852316,0,47.64049495,6.911109087,1.071594932,9.767625681,8.681325794,13.57539285,2.483734716,11.13331195,369.2211405,1.308626374,1.408610985,9.898449179,1.394434449,152.2827562,718.0246294,1187.909123,59.82579479,0.482799814,0.079786295,7.662930774,1.439616317,5.517041674,1.156465922,302.9175912,4.282802875,17.05606935,50.06221104,173.9313431,148.1869468,59.24885536,,444.0469696,1796.785064,59.10478705,75.15398322,17.16686852,12.15313732,7.279218705,14.14522148
M107,7.056019943,2.314099083,90.01221398,10.27512068,1.598749513,3.86186519,4.139612681,31.05551656,2.049449142,32.05763362,2289.978153,1.359696636,1.373516572,25.00169136,0.695811114,138.7378936,591.5956952,234.0290292,17.92715071,2.701146479,0.223192371,7.862218904,1.232658089,5.313725599,2.053567137,127.0733131,1.394708899,21.34225879,29.50875313,1469.493682,30.06103215,83.12132955,,714.9821506,2623.562928,45.30846411,76.62033075,19.40805377,13.14960227,5.902825307,8.951976368
M108,10.80751898,0,17.63625747,1.88989715,16.9724598,18.09488754,2.603345681,73.26181946,3.397330386,39.88087758,282.6057013,0.954120748,4.67773205,24.96330288,1.113039448,654.2180991,616.9555622,1330.870367,69.48886562,7.797408384,76.39181784,7.481544388,0.98987304,8.36087542,2.287340729,441.7339644,16.15755917,32.14891433,48.87601975,575.5450977,213.3838023,70.21410529,,898.1300823,2856.529924,67.87203744,59.09001248,22.47834244,14.05735387,10.46553253,14.14128698
M110,9.588633873,0,112.4651394,2.121937485,1.480566783,3.162231262,2.00656975,7.137426086,1.742837284,15.2145089,75.53102576,0.107343125,3.882298392,26.38776272,0.189348137,412.2877382,162.9563354,381.2593619,7.771859166,0.438930796,0.641376346,5.316059027,1.283050482,5.637280092,0.871542872,188.6473494,2.884835148,14.98853646,34.43906352,273.4215954,221.4020278,58.08704771,,339.1520066,1935.184591,44.3279332,34.51762936,11.06932665,8.83206521,5.895197747,8.47002871
