,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
caris_1,23.4103,0.124018,25.5751,0.643376,1.38836,12.6606,0.430772,4.83076,3.78295,8.16207,192.26,1.64755,22.3668,5.864,1.52693,27.8738,358.38,111.589,31.3892,2.72623,1.62719,40.3106,0.725191,10.7219,5.05658,46.7285,84.9633,11.2182,66.8701,179.684,88.6584,39.5561,,94.1588,834.774,31.8024,29.9285,14.3598,5.67113,25.3905,
caris_2,39.2519,2.29221,31.4516,6.10051,3.06886,26.2756,35.177,11.8919,32.8003,8.55038,223.672,19.8597,21.7318,30.9123,16.307,43.5988,183.548,373.887,56.9705,8.66045,6.03618,175.475,2.06796,38.0491,22.511,54.9649,43.0663,6.94302,99.1118,256.777,11.6315,46.6935,,179.769,1247.73,50.775,40.7014,42.149,10.0111,60.5986,
caris_3,49.1077,0.163719,63.7933,2.09247,3.28238,8.92973,1.55005,3.7068,1.86855,6.50177,536.19,1.73999,10.3734,29.4591,2.1054,133.277,540.47,656.586,18.6802,1.99808,0.506711,93.1897,4.23623,23.1121,8.87659,68.6225,107.15,1.55504,79.3867,263.645,501.835,29.7634,,41.054,1556.44,34.1657,30.8453,28.1224,11.9416,30.8199,
caris_4,16.3478,0.304812,20.1892,1.01377,0.219242,2.11621,2.17291,1.10131,2.05819,1.82231,221.355,1.14692,3.41341,6.00531,0.1873,12.4853,179.454,114.388,11.0547,0.545902,4.98434,29.5724,0.543162,7.18194,2.72536,23.3372,23.7415,1.21717,21.2946,72.1078,11.3302,11.2565,,45.7537,671.297,15.7136,8.6952,9.08078,3.25447,7.66667,
caris_5,36.6044,0.131437,179.631,0.246793,2.26775,46.1785,3.71285,9.32005,8.80292,10.1665,2920.82,2.19447,13.0566,34.7532,10.3957,65.6866,162.528,530.115,8.38388,8.80652,35.4267,108.466,0.433583,15.8833,6.51191,85.2565,72.9919,4.62395,104.656,86.9094,155.942,47.8336,,12.1679,1429.61,56.9551,39.7836,21.3006,14.8774,26.7093,
caris_6,7.57356,0.268774,3.85464,1.8708,2.67516,12.8367,36.4264,6.33278,2.72283,8.94768,505.607,0.982827,6.0137,1.09989,0.188447,45.2337,110.011,1301.54,17.7601,2.04766,0.118505,23.8368,24.0773,6.79132,7.60566,74.8665,1.33926,2.82223,30.1785,31.4396,37.4185,22.2913,,7.96881,1221.46,13.4869,15.3751,5.86836,3.56741,8.85236,
caris_7,23.337,0.140963,14.4431,0.800424,1.68287,15.5264,0.930528,1.85872,2.04804,3.36017,924.397,2.98584,3.02402,4.10885,0.422879,48.5727,171.758,43.7968,12.3213,0.572399,24.3636,41.2095,2.04178,12.5959,2.15679,43.9367,5.72262,0.517505,59.1939,45.7946,75.0543,28.697,,23.8296,936.412,19.7425,18.132,7.52458,4.38068,11.3009,
caris_8,18.9439,0.47268,6.1461,5.91583,0.924203,35.1334,32.6464,10.8699,4.05628,11.966,435.798,1.69066,10.1033,2.73334,0.954724,8.73051,197.777,1345.04,6.22929,1.96721,0.436225,71.8013,2.87031,14.3125,7.4506,111.17,20.3684,1.00339,151.647,122.647,125.226,43.336,,5.9563,1669.25,28.9194,37.7312,10.6559,8.39523,27.4773,
caris_9,24.8517,0.574668,27.3622,1.56178,5.23452,24.4292,6.68103,5.37787,3.00176,9.27856,394.009,2.19386,8.00648,5.11769,0.28234,37.9829,272.911,683.629,8.82671,0.989401,0.289815,75.1776,7.45471,9.72622,3.52469,80.147,7.6187,5.62668,52.4162,95.4382,52.6285,36.6523,,91.2361,1261.14,27.4697,28.7961,17.5189,8.03841,16.0021,
caris_10,32.0471,0.544995,10.8429,0.515896,3.95838,30.5622,1.92771,9.03874,6.44692,21.2895,3797.09,1.03923,26.769,6.67511,8.91633,11.2913,197.988,565.407,12.8937,13.3218,0.184475,148.602,4.65395,28.8715,7.78955,70.7848,0.911963,8.32266,128.444,306.057,14.2196,97.7362,,14.2229,1744.01,76.4802,98.1403,23.6329,6.167,63.208,
caris_11,21.4002,0.196535,1.92271,1.69182,2.62928,4.78194,6.39293,7.56083,4.79659,19.7406,251.914,2.27941,9.35521,4.12703,0.246495,19.1705,206.34,195.591,7.31937,6.50457,4.64125,61.2273,7.0998,7.76851,13.6045,95.9688,12.9792,12.0407,54.9676,48.3174,13.4363,15.762,,5.17676,1130.78,27.0773,28.6711,16.87,7.92249,18.1955,
