,ARID1B,CCL21,CCND2,CD3E,CDC20,CDK6,CDKN2A,CDKN2C,CHEK1,CKS2,COL1A1,ESR1,EZH2,FBLIM1,FGFR4,GAS1,IFNGR1,IGF2,KDR,KIF20A,KRT14,MDM4,MMP9,MUTYH,MYBL1,PGK1,PGR,PIM1,SPOP,TAGLN,TMEM30B,USF1,LINC02593,CCN1,ACTB,CASC3,GUSB,MRPL19,POP4,TTC21B,KIAA1715
sahm_103820,20.96,0.25,33.18,2.89,0.58,5.38,0,12.79,3.18,1.49,341.76,5.08,1.44,1.57,0.05,9.24,127.62,55.92,4.78,2.02,0,52.7,0.4,5.52,2.22,79.35,1.41,2.19,52.18,135.07,12.03,13.73,0,142.08,1135.16,22.72,20.06,24.22,4.14,17.27,25.18
sahm_104186,27.48,0.18,35.33,2.73,0.29,12.8,3.34,13.72,2.43,0.8,1579.34,3.98,0.91,2.11,0.29,22.39,203.06,53.55,10.08,0.36,0,91.22,0.29,18.94,1.04,123.34,2.54,0.93,69.5,343.4,6.72,20.82,0,83.3,3181.76,50.03,38.58,33.01,9.49,26.31,40.97
sahm_104876,19.08,0.38,12.78,1.29,0.51,3.81,2.3,1.88,2.12,2.11,401.63,2.52,2.73,2.89,0.05,13.89,86.08,10.78,2.13,0.4,0.04,77.23,0.03,15.28,1.58,79.65,23.55,1.47,46.79,143.06,18.25,12.84,0,24.92,1492.28,30.52,21.37,22.04,5.93,21.86,26.77
sahm_105196,14.7,0.09,27.99,2.53,0.41,5.83,4.05,11.48,0.95,0.7,314.92,2.25,1.39,2.43,0.59,18.23,98.57,20.78,1.87,1.81,0,61.13,0.08,10.59,0.68,111.66,8.44,1.77,42.52,451.93,15.17,14.06,0,64.47,1779.59,30.42,23.51,17.6,7.55,11.88,18.44
sahm_105604,16.66,0.38,11.4,6.75,0.9,12.79,3.28,8.7,6.05,10.01,1372.77,1.31,5.65,2.14,0.47,9.37,318.16,247.66,49.59,2.9,0.21,111.77,0.17,20.54,4.09,332.84,10.05,2.45,58.63,148.27,5.74,19.4,0,12.91,1883.77,43.15,38.61,29.74,9.47,71.16,32.98
sahm_107058,19.63,0.55,9.89,0.9,0.7,5.33,0.51,8.69,4.11,2.51,771.77,2.56,2.45,1.47,0.11,15.87,127.15,10.28,4.11,1.87,0.32,63.86,0.36,9.72,1.63,112.79,9.35,1.34,56.59,253.37,21.6,14.66,0,101.17,1492.47,30.18,28.01,23.33,9.23,15.84,24.07
sahm_127198,14.86,0.48,17.12,6.06,0.58,5.32,1.31,9.13,1.65,1.16,272.87,0.74,1.18,4.41,0.24,2.75,99.13,5.4,6.01,0.88,0,55.69,0.83,8.72,0.98,63.53,1.68,1.5,40.13,164.77,5.69,11.5,0,95.48,1002.78,28.03,18.5,17.25,5.41,11.53,14.64
sahm_128428,13.15,0.33,2.12,1.62,0.28,3.4,1.55,1.27,2.57,1.37,287.23,1.24,1.02,0.66,0.16,8.06,108.95,3.03,0.99,0.59,0.06,46.46,0.03,7.09,0.57,69,7.45,1.18,38.18,163.72,16.73,10.42,0.01,173.88,864.38,21.63,15.55,16.65,4.36,11.93,17.95
sahm_129834,6.85,0,5.64,1.73,1.02,7.66,8.94,13.66,15.73,9.12,25.98,2.42,6.63,4.88,1.77,7.87,115.11,177.94,4.98,4.6,0,76.34,0.13,6.3,3.85,169.94,4.46,1.07,35.42,180.59,2.32,10.83,0,35.44,1009.74,24.24,18.3,13.16,9.32,21.83,32.88
sahm_152614,35.65,0.46,53.52,1.57,0.87,19.88,24.8,13.03,3.21,4.93,1264.91,6.18,2.67,3.51,5.38,37.18,215.27,155.3,12.91,0.62,8.4,80.16,0.04,16.39,2.94,337.24,3.71,7.47,67.26,193.04,15.75,19.04,0.1,94.66,8671.74,112.67,57.87,33.12,17.94,40.2,29.02
sahm_221930,18.34,0.12,5.24,0,7.49,17.88,0.13,17.57,25.13,18.03,1058.07,0.73,31.11,2.17,0.21,3.69,72.09,71.83,1.39,16.78,1.02,124.78,1.74,9.37,4.98,137.05,0.91,18.05,44.34,103.38,0.91,13.15,0.06,10.14,1689.02,51.3,52.81,40.69,8.67,63.34,50.84
sahm_221932,7.25,0,0.64,3.56,4.89,4.44,6.14,7.15,12.34,21.12,774.15,0,18.2,4.41,2.02,1.46,57.77,43.73,6.23,7.88,5.41,149.97,6.32,7.88,4.88,297.87,0.74,11.72,29.35,42.18,1.91,9,0,20.24,1477.72,98.53,36.51,40.82,10.27,50.03,42.28
sahm_221934,11.07,0,1.41,1.16,10.51,8.66,1.68,7.29,11.51,13.19,74.09,0,9.05,6.89,0.1,11.94,31.19,9.11,2.14,6.75,4.2,110.71,4.06,11.38,1.04,158.96,3,1.52,43.8,87.4,0,15.51,0,8.76,786.99,19.88,11.43,16.3,8.77,28.27,13.87
sahm_221936,10.54,0.07,12.48,4.78,2.08,1.29,4.76,18.12,6.33,8.15,440.02,1.21,9.66,5.68,1.08,26.04,74.85,361.03,5.51,1.3,0.06,96.91,0.2,4.79,4.36,251.87,15.86,9.26,56.3,93.77,2.14,13.8,0,13.61,1276.84,32.69,20.15,37.01,7.62,41.88,33.48
sahm_221938,13.33,0,28.26,6.7,0.71,3.65,5.67,18.15,10.76,10.91,671.86,1.32,13.45,0.74,0.79,5.37,230.81,284.7,10.56,4.63,0.04,194.45,0.68,15.76,12.26,345.61,14.18,1.72,67.52,143.85,2.62,24,0.22,21.93,3116.21,73.51,50.73,51.78,7.72,41.51,57.47
sahm_221940,7.16,0.12,4.81,0.45,2.55,3.31,0.31,6.12,8.65,10.96,828.83,0.06,7.56,5.43,0.03,9.96,91.46,288.76,4.74,5.23,75.82,115.05,4.66,12.08,3.34,250.41,13.58,5.32,49.53,75.85,2.01,15.07,0,20.77,1896.42,39.86,20.69,35.85,11.05,15.95,29.9
sahm_221942,10.43,0,20.31,22.67,0.95,4.4,0,11.8,42.84,21.03,175.04,0.11,9.21,0.21,0.49,9.05,30.55,161.73,7.89,3.6,0,172.55,6.32,19.04,17.84,488.38,0,3.42,38.27,249.95,2.58,13.04,0,1.79,1067.35,46.58,47,65.24,9.58,20.96,40.3
