"","ARID1B","CCL21","CCND2","CD3E","CDC20","CDK6","CDKN2A","CDKN2C","CHEK1","CKS2","COL1A1","ESR1","EZH2","FBLIM1","FGFR4","GAS1","IFNGR1","IGF2","KDR","KIF20A","KRT14","MDM4","MMP9","MUTYH","MYBL1","PGK1","PGR","PIM1","SPOP","TAGLN","TMEM30B","USF1","LINC02593","CCN1","ACTB","CASC3","GUSB","MRPL19","POP4","TTC21B","KIAA1715"
"AGH101",4.1809029,0.102027,1.70971,0.0603276,1.583509,1.118859,40.39079,15.6733243,1.3889739,4.10273,119.826118,0.051340400815525,0.9878722,6.052257,0.290781,74.0068,86.1673,304.138628,0.7739241,0.359620745,2.449869,8.03187512199,2.73509,36.790961109,0.50329,41.666829,0.743343,0.869045,17.225578,475.306364,58.248,30.806768,NA,30.011451,5783.005363,24.956952,23.073116,2.21528,30.131788,2.154531,2.28615
"AGH102",4.0817513,0.587674,16.192655,1.052334,0.2179,0.580259,1.532606,15.097605,2.27584844002,4.68663,41.212304,0.272477,1.5569,10.670713,1.3329584,53.2814,44.3061,123.6990595,1.558878,0.168686,0.263906,6.50348067,0.175985,33.856851,0.194117,40.896151,3.11948,1.34835,15.8834857,726.96891,55.0792,32.78123,NA,145.56558,4762.980935,26.163347,18.306846,3.345591,24.840644,3.071705,2.52851
"AGH103",2.9386162,0,4.3185,0.504327,2.26493,0.515256,19.579339,22.6242279123,1.4228663,5.71308,133.236973,0.060787100117895,1.0227716,12.046244054,0.390617,49.1238,158.146816,498.144076,0.507902,0.236271,0.2759733,6.08913600008689,1.1386,40.3668975,0.435149,17.29097,0.7789,1.6155,13.6367,366.191998,46.3105,31.869749,NA,55.10733,6800.356841,21.4132613,12.896904,3.88557,22.32359039,1.964582,2.00332
"AGH104",3.9418296,0.105153,10.908289,0.880043,3.40176,0.228702,7.568086,13.884762,2.217351,5.88512,84.681852,0.0650714,1.368457,16.029232,0.3289995,27.708,123.598,297.3457136,0.609417,0.196615,9.05718,4.6206076,0.284174,34.543088,0.436669,23.18168,1.256307,1.20981,12.435176,336.600154,69.548,40.312087,NA,36.59042,9511.460055,32.651175,18.897445,5.10846,22.86168,4.110215,2.090006
"AGH105",5.6349552,1.15933,14.80492,1.9629539,3.40872,0.780102,20.562797,30.149737,2.007483,8.14884,379.496536,0.635510903008395,1.699557,6.5365811,1.10893021,129.6,20.9268,573.975673,0.349834,0.822532,2.6759,8.586250101063,0.556929,28.8371930251287,0.3743223,29.08065,0.4719793,3.239121,24.739595,1617.750293,29.2183,50.415923,NA,70.64538,3952.64284,35.462018,24.5061040182242,3.56488,33.022114,3.514324,2.136742
"AGH106",3.4504751,0.458886,1.5416,1.04325,2.257771,0.2353711,2.667106,7.4027898,1.28416,1.50839,169.334349,0.111913,0.827504,7.443088,0.710248,11.5598,35.586,2041.338776,0.00332245,0.3866363,16.97599,3.950912,4.4699,42.8855180006719,0.0585309,44.43057,2.9572343,0.681352,10.8974492,803.76648,56.0892,43.58096,NA,155.33698,7794.308038,29.3229392,20.678275,1.10708,23.329141,1.9226519,1.30389
"AGH107",4.9631449,0.36247,6.956479,2.863039,4.27042,0.170703,10.55726,29.271809,2.465489,9.485,498.644916,0.2284799,1.8501782,24.0892420222496,1.929882,19.1794,62.5793,44.6220787,0.0768606,0.681097,0.9655083,11.1502010783896,0.357114,39.332335,0.4924635,53.14956,1.8311707,0.97204,24.340371,627.09764,74.1522,62.900213,NA,62.91936,7379.627207,50.210914,37.492305,4.85053,43.085283,2.315401,3.394597
"AGH108",5.779164,1.12835,22.399401,0.80701,0.951993,1.164135,5.832045,43.305848,2.107081,9.33226,447.106337,1.11387620588814,1.280723,9.819815,0.7542648,131.279,28.8923,1620.387933,0.682707,0.288448,0.29914,11.4945194958077,0.539292,25.2956640592281,0.749413,47.21874,0.67783401,4.984919,27.454975,1548.68721,57.5313,52.27989,NA,637.9509,4792.02987,42.941117,31.223725,2.475947,37.072515,3.37425,2.604358
"AGH109",4.7894724,0,0.706041,0.101254,1.08934,0.0557907,0.8369981,79.656535,2.1891083,23.8757,91.895142,0.1122004,2.0022903773,4.238854,1.1280173,91.921,45.5477,5509.43038,8.33643,0.405808,69.62853,6.3343869,0.629243,10.647205,0.732525,139.81196,0.522003,56.07726,15.934093,205.011438,39.6058,29.8515,NA,1956.6532,6186.151092,24.01644,18.386183,3.233906,27.472691,1.991841,2.76816
"AGH110",6.7546118,0,15.401589,2.795015,1.22813,0.833844,0.878683,12.3660079,3.774915,8.29257,96.156758,0.0101907,1.24837311341,19.052024,2.08707,61.2384,62.0929,1131.5533786,0,0.230546,1.414847,6.804344,21.9584,47.6040571,0.596027,32.310688,1.608669,1.84049,15.205178,1090.878935,65.1792,33.316127,NA,82.736891,10280.209885,22.1578784,18.259768,2.22547,22.062298,4.355588,2.715172
