"","ARID1B","CCL21","CCND2","CD3E","CDC20","CDK6","CDKN2A","CDKN2C","CHEK1","CKS2","COL1A1","ESR1","EZH2","FBLIM1","FGFR4","GAS1","IFNGR1","IGF2","KDR","KIF20A","KRT14","MDM4","MMP9","MUTYH","MYBL1","PGK1","PGR","PIM1","SPOP","TAGLN","TMEM30B","USF1","LINC02593","CCN1","ACTB","CASC3","GUSB","MRPL19","POP4","TTC21B","KIAA1715"
"RP-1390_3_0289979E7_v1_RNA_OnPrem.1",14.928842,0.127175,1.056322,0.907413,1.663515,4.965384,0.736502,51.693382,1.430505,8.930892,866.959484,1.055644,1.08409,6.121091,0.200577,102.059973,177.221256,827.768326,3.104859,1.205603,0,3.776213,0.174424,8.708307,0.680756,86.774615,4.331875,1.048565,89.263939,290.661342,244.993262,40.298045,11.486697,47.46084,1239.71974,32.257226,46.107111,22.538159,48.670718,3.176503,14.384541
"RP-1390_3_8701736E7_v2_RNA_OnPrem.1",9.991537,0.578504,1.455563,20.954197,0.405656,0.876236,5.458603,13.510057,0.354978,18.008373,124.377436,0.466956,0.822635,3.136344,0.075605,28.082828,231.104353,178.477336,0.101622,0.123347,0.568519,2.85224,0.117121,8.289246,0.95727,21.514848,0.85519,2.638437,39.364471,249.302584,34.335323,55.972928,2.407571,17.793819,785.251889,21.065126,24.916256,8.011787,37.15109,2.963666,4.330753
"RP-1390_3_8847018E7_v1_RNA_OnPrem.1",12.613522,0,0.13703,1.266893,0.885235,0.874541,1.013562,7.626406,0.757422,6.792771,206.687204,0.140456,1.518529,17.532354,1.546481,50.184026,387.567647,1098.165076,4.486983,0.880665,2.216016,1.693425,4.371051,8.533307,1.049837,79.828979,6.626894,2.480148,38.039403,344.723869,353.379784,29.533781,10.769786,14.472283,876.82912,25.54994,29.458704,17.384172,43.951084,2.430172,7.456339
"RP-1390_6601538_0_v1_RNA_OnPrem.1",9.510548,0.340499,17.652055,1.430997,1.063133,3.611046,1.448629,65.104037,1.061179,9.067991,520.672079,0.889092,0.979515,9.264194,0.141073,57.97128,211.388529,537.855928,2.290268,0.638187,1.253239,2.684055,0.021097,9.063409,0.349514,85.062902,1.382054,1.656665,69.728258,354.590807,162.761571,41.879095,5.5657,130.563416,8.540657,29.286398,40.16678,18.296426,29.774705,3.819828,12.769414
"RP-1390_PDO-25321_SM-LLY6N_2_9343126E7_v1_RNA_OnPrem.1",7.373009,0.189873,18.276222,0.326377,1.120589,7.661425,5.350986,52.748704,1.355109,13.891536,1034.614316,0.151617,2.561523,17.539505,0.291473,142.769055,229.498492,926.730276,1.644658,1.271608,0.051446,7.007277,7.996297,7.299557,1.046408,160.82738,10.781195,3.512004,60.413123,606.415995,251.893699,36.030748,3.759798,14.689134,1687.228856,29.394134,23.736796,23.787643,53.390027,2.688599,20.993744
"RP-1390_PDO-25321_SM-LLY6O_1_838319E7_v1_RNA_OnPrem.1",4.417971,0,0,7.112504,4.774057,2.509738,4.467407,43.987857,3.363032,66.383779,434.537232,1.878255,4.30844,4.486314,0.257633,55.577831,195.726698,544.647562,2.857207,3.804095,0.803411,2.748608,56.485981,4.025408,3.082073,221.75262,5.169115,5.500377,61.284491,271.282878,81.712347,37.605905,0.109852,36.004739,515.66123,25.226356,22.700012,31.213544,32.4503,0.025676,13.406191
"RP-1390_PDO-25321_SM-LLY6P_1_1894417E7_v1_RNA_OnPrem.1",4.749898,0,0,6.658541,0.52621,0.733057,4.115849,12.203653,0.565073,14.720621,21.26738,0.179125,0.492415,13.765225,0,46.969922,124.273909,34.165478,2.145525,0,5.889034,0.490584,101.364806,5.932194,0,136.424664,1.415652,19.583882,16.000498,395.131762,35.190608,11.797855,0.466056,94.439025,44.357454,28.179763,12.664864,25.79189,66.350535,0.241639,2.884013
"RP-1390_PDO-25321_SM-LLY6Q_4620118_0_v1_RNA_OnPrem.1",14.555354,0.047257,4.550343,1.449987,1.432047,0.89479,4.303058,9.124294,2.014482,11.301363,685.660121,0.662886,2.24457,30.816752,0.500645,74.804652,325.519213,256.500798,3.698796,0.762207,0.593157,3.550375,0.064685,6.292763,0.522893,120.489888,14.189149,2.769349,51.289144,122.774262,251.029496,34.967757,5.879186,3.93074,1215.602962,34.666667,35.562855,24.902103,40.594799,2.733897,19.759137
"RP-1390_PDO-25321_SM-LLY6R_3_7949484E7_v1_RNA_OnPrem.1",6.513605,0,3.839374,0.216879,0.220602,7.762822,6.726903,74.369572,0.526645,9.55576,59.670465,0.287237,0.814292,11.000412,1.626786,22.457972,242.520225,5503.814326,12.598117,0.215591,69.955131,5.668811,0.733309,3.136672,0.743633,265.717803,2.518328,17.041374,43.879301,471.689761,371.862367,33.149083,3.553296,62.682422,199.762356,36.557299,25.156895,20.096556,63.701809,3.933677,10.312641
"RP-1390_PDO-25321_SM-LLY6S_7452436_0_v1_RNA_OnPrem.1",17.666446,0,1.247666,0.559126,0.572214,1.202644,7.207615,21.031582,1.421344,4.071526,219.788298,0.375965,3.394653,68.1792,0.113096,89.195704,459.862112,12.075725,3.626695,0.62346,0.077042,8.046728,0.037813,20.313896,0.880172,104.258239,14.339006,1.141952,51.766512,80.463033,314.986164,36.998957,14.824281,15.291683,874.777944,33.757854,27.478203,15.737084,25.413342,3.874781,16.345962
"RP-1390_PDO-25321_SM-LLY6T_4_2688465E7_v1_RNA_OnPrem.1",16.946727,0.04382,3.539133,3.063236,0.200098,0.84153,8.215364,12.477468,0.53767,8.526942,180.349522,0.194146,1.638832,23.209111,0.020121,100.040547,238.040186,90.264387,6.475775,0.260238,0.115635,11.852516,1.937505,16.941552,0.715132,144.165698,6.584285,4.423091,49.756359,488.20677,372.425441,41.613604,7.724175,59.512258,1003.487698,46.056653,33.928767,18.987339,20.793501,0.252494,13.412361
"RP-1390_PDO-25321_SM-LLY6U_1_9034628E7_v1_RNA_OnPrem.1",12.678969,0,0,7.500735,8.496198,29.155931,5.705589,5.562937,12.678297,75.213344,411.116418,0.210892,10.218807,19.568201,0.706108,4.245879,140.946513,991.295937,0.379722,17.600352,0.463781,9.015098,1.046637,5.365231,1.214637,213.225951,0.403313,104.855636,48.042046,386.84292,1.993815,46.761507,1.387663,8.090732,2030.543203,52.897803,43.153631,29.206896,36.6852,3.503964,23.000873
"RP-1390_PDO-25321_SM-LLY6V_BT147_v1_RNA_OnPrem.1",13.574445,0,2.522928,3.19182,0.332831,2.073137,0.770704,17.774487,1.01913,3.412721,152.861683,0.316077,0.873555,16.248064,1.244329,74.653356,142.785297,270.579316,5.088333,0.441983,0.105021,4.801633,0.681095,9.793666,0.161817,83.592728,16.869413,6.802617,37.471208,800.654975,241.115802,43.516835,11.128948,46.207167,1647.253587,29.912683,31.586314,17.115308,10.675658,1.828086,11.155829
"RP-1390_PDO-25321_SM-LLY6W_1_672106E7_v1_RNA_OnPrem.1",15.825461,0,2.241672,0.768012,1.949087,1.022447,2.57695,5.394034,0.956394,10.17091,1300.694462,0.185891,2.033566,32.894778,0.316561,95.729397,161.671604,127.532359,15.457283,1.818327,1.967998,4.312751,1.245882,15.329121,0.135067,37.80581,5.079925,0.917296,54.343381,242.237742,362.471055,52.382969,8.688395,22.611347,1149.727292,41.657848,26.931247,26.917715,24.108488,0.639696,15.919675
"RP-1390_PDO-25321_SM-LLY6X_3_6370906E7_v1_RNA_OnPrem.1",17.656935,0.106101,1.949002,6.586956,8.754998,1.738076,0.839262,77.558465,7.118808,79.450201,6083.434201,0.716649,6.351635,17.984329,6.433833,15.182278,269.3115,4819.536203,9.071736,15.50501,0.870556,4.994642,84.106016,7.570127,3.855387,100.191538,0.060428,37.440495,53.404138,543.791912,127.842056,58.105989,1.134806,358.163844,744.374989,40.28826,45.24138,21.266829,42.473059,4.030763,19.453402
"RP-1390_PDO-25321_SM-LLY6Y_1_7483009E7_v1_RNA_OnPrem.1",12.135986,0.035935,5.074532,17.666958,0.853522,0.507351,1.09575,6.026018,2.957727,28.466781,82.150558,0.666181,0.971894,11.831797,0.715449,24.495499,805.352385,836.79992,5.544639,0.525978,2.705191,2.617357,0.080723,4.208515,0.556381,168.891155,3.929683,1.880046,96.046893,173.167475,96.444566,44.668147,2.839736,0,409.995241,26.71149,29.961045,27.326728,19.860269,0.171477,13.929344
"RP-1390_PDO-25321_SM-LLY6Z_2_6559286E7_v1_RNA_OnPrem.1",10.275907,0.25801,7.204758,1.271544,0.951843,2.956069,3.912495,58.966445,3.423058,27.125925,285.433655,5.098356,2.053257,10.376496,0.873229,84.776379,368.238837,932.123533,6.463068,2.224135,0.306395,1.458484,0.31842,5.440145,3.664957,121.873405,1.752223,12.660356,48.314358,264.672933,159.621488,18.990413,3.248051,23.848218,688.818388,28.227029,61.479609,15.787509,49.652012,3.370706,15.515596
"RP-1390_PDO-25321_SM-LLY71_1_3538392E7_v1_RNA_OnPrem.1",9.96136,0,0.637319,1.196094,1.606194,4.125108,0.876346,63.211407,1.441607,12.809056,249.31403,0.546605,1.529924,18.979793,0.472954,228.283072,288.218713,606.741914,6.211891,1.488438,1.022324,3.8081,0.438067,7.782329,0.659626,137.67016,7.776619,9.436119,54.968504,1183.562569,120.429296,31.286878,4.755738,149.232422,609.645311,36.307194,31.909834,23.255055,48.990963,3.423158,11.162799
"RP-1390_PDO-25321_SM-LLY73_BT151_2300007_T1_v1_RNA_OnPrem.1",12.657565,0,1.131676,1.767467,5.483578,0.712435,7.312074,55.070485,4.635477,49.56208,93.17898,1.081286,5.55914,7.12639,0.69201,24.008358,351.908887,53.316696,1.39173,7.236412,2.162467,4.013626,10.388015,7.192434,3.379208,189.41239,2.951854,13.544332,85.522979,312.1611,121.063984,48.113878,4.79727,29.181061,973.804844,42.902321,39.502841,13.752947,26.341691,0.069026,11.712891
"RP-1390_PDO-25321_SM-LLY74_BT149_2300004_T1_v1_RNA_OnPrem.1",12.441802,0.092633,8.017819,2.130886,0.832203,2.922004,1.928682,55.828757,1.882185,8.808326,234.579747,2.350121,1.896699,4.657914,0.256481,117.011286,281.252525,1434.864408,11.861977,0.524698,0.208319,2.300945,0.571933,4.706827,0.80896,178.232631,4.051511,4.12204,57.923618,144.230267,12.745646,41.46901,2.647521,3.73545,508.998265,29.056309,35.558321,24.369317,54.043163,3.878799,14.306429
"RP-1390_PDO-25321_SM-LLY75_BT152_2300008_T1_v1_RNA_OnPrem.1",14.762298,0,0.610337,1.957854,1.245402,5.322401,0.6861,69.476535,1.339024,9.144503,669.409778,0.943276,1.822708,8.50966,0.185646,76.956904,144.073834,684.177131,1.338895,0.738103,2.717584,6.157454,0.213653,10.569022,0.743937,84.802269,6.041758,6.238264,69.398423,452.131069,172.607948,45.229588,14.357884,16.602616,398.549032,35.800439,36.486189,24.875197,50.376673,3.416775,17.312238
"RP-1390_PDO-25321_SM-LLY76_BT146_2300002_T1_v1_RNA_OnPrem.1",3.536512,0,4.618029,0.192607,0.910105,1.446736,8.847769,43.062718,1.422013,62.024439,118.317144,0.583092,3.022156,2.731371,0.147495,75.749633,88.827639,838.171781,1.038916,1.463521,7.760287,2.082711,1.233145,3.468662,3.632288,104.181428,0.848136,8.212754,36.315652,98.152156,40.815555,25.249448,0.985811,17.617216,136.223156,26.029935,17.06881,24.392955,53.379417,3.304896,9.810075
"RP-1390_PDO-25321_SM-LLY77_3_6290294E7_v1_RNA_OnPrem.1",8.585172,6.510271,2.493356,9.589436,1.385685,1.621523,3.697017,7.633787,1.181188,22.095146,1014.277414,0.409171,0.922709,8.42558,0.428781,19.553634,91.693836,53.931125,1.070786,0.516374,1.100192,3.213663,248.978783,4.309807,0.665837,99.997373,0.330706,34.738934,25.122236,137.633065,5.875131,28.01031,0.622358,155.006147,1016.049764,22.207056,30.870854,13.04656,31.663501,1.505168,9.143824
"RP-1390_PDO-25321_SM-LLY78_3_743324E7_v1_RNA_OnPrem.1",11.239991,0.213687,18.519775,0.955771,2.634281,6.517567,9.884947,38.845323,2.952967,57.237141,3750.379958,1.50452,3.398632,11.671644,0.207705,180.928573,257.327269,2359.626588,13.88152,5.884412,0.029019,3.886422,0.502966,5.584052,3.908012,140.558758,3.631565,59.607358,50.264116,758.332432,67.331866,44.762242,4.308969,376.639913,1577.806503,26.9253,40.355005,28.488787,16.074542,0.320553,14.365737
"RP-1390_PDO-25321_SM-LLY79_3_0756472E7_v1_RNA_OnPrem.1",11.769684,0.049296,2.411072,1.942715,1.541005,2.58729,9.711654,53.397085,3.911588,39.020588,156.554439,1.169261,4.558094,7.99131,3.857336,224.439118,195.378926,4209.447929,1.577888,2.104225,6.957326,4.188379,1.233411,5.916288,1.848336,226.210714,0.639479,16.04969,43.706513,162.92381,60.71717,43.560012,1.757624,22.337342,902.271933,31.783716,31.991783,21.847749,38.297535,3.202428,17.279176
"RP-1390_PDO-25321_SM-LLY7A_3_8814596E7_v1_RNA_OnPrem.1",17.962744,0.88679,0.21173,1.701586,1.313215,0.632015,3.622435,13.974091,0.788556,9.096639,1560.887793,0.400639,0.922843,14.718291,0.317642,77.757032,216.322444,260.744255,15.735342,1.475837,0.11704,4.383879,0.447652,9.246169,1.410474,73.845348,4.661224,2.716488,61.210277,728.076543,294.409732,42.948583,8.122319,154.833146,936.782224,32.873407,56.656233,22.931892,16.817415,4.016212,14.331204
"RP-1390_PDO-25321_SM-LLY7B_5757554_0_v1_RNA_OnPrem.1",0.997125,0,0,0,0,0.070979,8.663097,2.221339,0.386391,10.198302,43.486457,0,0.480219,1.215926,0,4.891088,0,37.117805,0.433853,0,0,0.3647,0,0,0.657833,5.518476,0.063061,0.660231,2.818387,9.886164,9.020095,8.346542,4.668465,0,30.731959,1.665642,10.687935,1.383806,11.405555,0,2.05002
